UID	TIME	A	B	C	D	E	F
double	double	double	double	double	double	double	double
3	106	64.750000	0.339022	0.003123	-0.001928	0.000632	0.000424
3	107	65.625000	0.339022	0.001456	-0.000636	0.000384	0.000151
3	108	65.125000	0.339022	0.001512	-0.000656	0.000384	0.000147
3	109	67.250000	0.339022	0.000312	-0.000172	0.000160	0.000044
3	110	67.750000	0.339022	0.000060	-0.000140	-0.000024	0.000036
3	111	66.500000	0.339022	0.000131	-0.000136	0.000016	0.000032
3	112	65.750000	0.339022	0.000261	-0.000104	0.000184	0.000024
3	113	65.500000	0.339022	0.000023	-0.000072	0.000000	0.000015
3	114	63.875000	0.339022	0.000371	-0.000516	0.000376	0.000102
3	115	64.625000	0.339022	0.000152	-0.000204	0.000088	0.000044
3	116	66.000000	0.339022	0.000000	0.000000	0.000000	0.000000
3	117	66.375000	0.339022	0.000000	0.000000	0.000000	0.000000
3	118	65.250000	0.339022	0.000000	0.000000	0.000000	0.000000
3	119	65.000000	0.339022	0.000009	-0.000064	0.000032	0.000015
3	120	62.875000	0.339022	0.000111	-0.000074	-0.000008	0.000014
4	1	45.750000	0.327341	2.493906	-0.291342	0.006138	0.018865
4	2	45.500000	0.327341	2.565521	-0.296306	0.016855	0.018564
4	3	46.375000	0.327341	2.311090	-0.278838	0.013733	0.019354
4	4	44.875000	0.327341	2.753099	-0.311568	0.013826	0.017736
4	5	43.750000	0.327341	3.116008	-0.330553	0.007322	0.016172
4	6	45.000000	0.327341	2.711955	-0.311230	0.015057	0.017801
4	7	45.375000	0.327341	2.595042	-0.304432	0.016897	0.018200
4	8	45.625000	0.327341	2.517854	-0.299772	0.012808	0.018413
4	9	45.000000	0.327341	2.708452	-0.314890	0.013378	0.017657
4	10	45.750000	0.327341	2.476563	-0.299528	0.009348	0.018443
4	11	46.625000	0.327341	2.220007	-0.281018	0.009216	0.019198
4	12	46.125000	0.327341	2.360881	-0.293140	0.014484	0.018724
4	13	45.875000	0.327341	2.432735	-0.299982	0.013386	0.018434
