id anom1989 anom1990 anom1991 anom1992 anom1993 anom1994 anom1995 anom1996 anom1997 anom1998 anom1999 anom2000 anom2001 maxabs relchg cv posper negper dem slope aspect cti nearstrm
double double double double double double double double double double double double double double double double double double double double double double double double
89 -0.0342308 -0.0542308 -0.0292308 0.000769267 -0.0192307 0.0107692 -0.0542308 -0.00923072 0.0357692 0.0457692 0.0657692 0.0607692 -0.0192308 0.0657692 0.697959 2.388 7 0 1890 13.56 358 2.12 3590.19 
90 -0.00346151 -0.0584616 -0.0134615 -0.0084615 -0.0334615 -0.0134616 -0.0584615 -0.0334615 0.0465385 0.0465385 0.0615384 0.0615384 0.00653848 0.0615384 0.594795 2.54591 4 1 1935 13.49 13 1.43 3895.15 
91 -0.0265384 -0.0765385 -0.00653847 -0.00653847 -0.0515385 0.00846158 -0.0815384 -0.0165385 0.0484615 0.0584615 0.0634615 0.0934616 -0.00653847 0.0934616 0.738602 2.44328 6 0 1795 11 34 1.64 4410.78 
92 -0.0173077 -0.0773077 -0.00230772 0.0376923 -0.0673077 0.00269233 -0.0723077 -0.0423077 0.0276923 0.0476924 0.0926923 0.0876923 -0.0173077 0.0926923 0.589242 2.87643 5 1 1661 7.47 29 3.13 5073.24 
93 -0.00615384 -0.0461539 -0.0261539 0.0288462 -0.0611539 -0.00615384 -0.0461539 -0.0311538 0.0288462 0.0488462 0.0738461 0.0988462 -0.0561539 0.0988462 0.503922 3.9439 3 1 1551 6.12 18 5.49 5832.71 
94 -0.0657692 -0.0207692 -0.00576924 0.0242307 -0.150769 -0.0357693 -0.0907693 -0.0557692 0.0592308 0.114231 0.129231 0.129231 -0.0307692 0.150769 0.46281 3.88002 4 3 1111 18.8 263 3.02 9384.71 
95 -0.0184615 -0.00346149 0.00653844 0.0165385 -0.148462 -0.00346155 -0.0884615 -0.143461 0.0315384 0.111539 0.156538 0.141539 -0.0584615 0.156538 0.59416 2.83189 2 2 1509 21.43 261 2.73 10026.4 
96 0.00153846 0.00153846 -0.0234615 -0.0134615 -0.0934615 0.0465385 -0.0284616 -0.0934615 0.0365384 0.121538 0.0515385 0.00153846 -0.00846153 0.121538 0.681034 3.21649 3 2 1783 10.49 256 3.3 10714.9 
97 -0.0111538 -0.0161539 -0.0411538 0.0188462 -0.0311539 0.0438462 -0.0411538 -0.0311539 0.0438461 0.0388461 0.0388461 0.0138462 -0.0261539 0.0438462 0.456 2.95038 3 0 1875 7.5 249 3.41 10701.5 
98 0.0080769 -0.0269231 -0.0269231 0.00807696 -0.0169231 -0.00192303 -0.0169231 -0.00692308 0.0330769 0.0230769 0.0330769 -0.00192303 -0.00692308 0.0330769 0.459893 3.67586 4 0 2217 3.99 224 2.66 9728.76 
99 -0.0265385 -0.0265385 -0.0215385 0.0084616 -0.0165385 -0.00653845 -0.0265385 -0.0215385 0.0634616 0.0334616 0.0484616 -0.00153845 -0.00653845 0.0634616 0.953758 2.29064 6 0 2019 6.24 131 2.91 8762.18 
100 -0.0503846 -0.0453846 -0.0203846 0.00461543 -0.0153846 -0.000384629 -0.0303846 -0.0403847 0.0546154 0.0446154 0.0396154 0.0496154 0.00961542 0.0546154 0.679426 2.22795 7 0 2033 6.95 138 2.1 7804.02 
101 -0.053077 -0.0580769 -0.0430769 -0.00807688 -0.0180769 0.0219231 -0.0130769 -0.058077 0.0469231 0.0569231 0.0619231 0.0569231 0.00692311 0.0619231 0.600746 2.34925 7 0 2073 8.75 117 1.87 6857.82 
102 -0.0719231 -0.0819231 -0.0469231 0.00807693 -0.0319231 0.0330769 -0.0319231 -0.0669231 0.0530769 0.0430769 0.088077 0.098077 0.00807693 0.098077 0.804417 2.09865 7 0 1759 7.67 101 2 5929.31 
103 -0.0665384 -0.0665384 -0.0365385 -0.00653848 -0.0465385 0.0184615 -0.0515385 -0.0615384 0.0584615 0.0634616 0.0784616 0.0984615 0.0184616 0.0984615 0.721127 2.37907 6 0 1632 4.58 318 5.42 5028.29 
104 -0.055 -0.05 -0.03 -0.02 -0.03 0.015 -0.065 -0.075 0.07 0.065 0.08 0.085 0.01 0.085 0.607143 2.50363 4 0 1851 8.42 8 1.91 4172.62 
105 -0.0715385 -0.0515385 -0.0315385 -0.0265385 -0.0265385 0.0284615 -0.0515385 -0.0665385 0.0734616 0.0634616 0.0834615 0.0934615 -0.0165385 0.0934615 0.684507 2.36122 5 0 1567 10.15 36 4.02 3396.72 
106 -0.0430769 -0.0530769 -0.0330769 -0.0130769 -0.0130769 0.0369231 -0.043077 -0.068077 0.0569231 0.0619231 0.0519231 0.0669231 -0.00807693 0.068077 0.531532 2.74616 5 0 1618 12.11 308 2.23 2768.53 
107 -0.0307692 -0.0307692 -0.0207692 0.0142308 -0.0257692 0.0242308 -0.0307693 -0.0607693 0.0692308 0.0492307 0.0542308 0.0242308 -0.0357693 0.0692308 0.598007 2.91944 4 0 2012 13.22 315 1.45 2406.6 
108 0.0107692 -0.0542308 -0.0242308 0.0357692 -0.0242307 0.0257692 -0.0342308 -0.0492308 0.0507693 0.0307692 0.0407692 0.0207692 -0.0292308 0.0542308 0.520295 2.94879 4 0 1933 6.04 344 2.25 2432.85 
109 0.0242308 -0.0707693 -0.0107692 0.0292308 -0.0257692 0.00923079 -0.0457692 -0.0457693 0.0342308 0.0142308 0.0442308 0.0492307 -0.0057692 0.0707693 0.70229 2.76295 5 1 1998 5.31 101 2.38 2836.5 
